# Generated by research/gated.py. Do not edit.
# docs/preregistration.md quotes these; tools/check_numbers.py
# fails if the document and this file disagree.
accuracy_bar	55.16%
accuracy_bar_moved	53.16%
block_A	299.58
block_B	317.30
block_C	177.58
dev_estimate_A	0.56219
dev_estimate_B	0.00551
dev_estimate_C	0.62409
effective_blocks	2661.6
fallback_correct_units	not triggered
fallback_ratio_correct_units	0.0603
fallback_registered	not triggered
frac_moved	0.6116
guard	passes
heldout_windows_min_per_session	236,326
heldout_windows_primary	472,652
heldout_windows_sensitivity	629,690
m_all	0.9686
m_moved	1.5835
m_one_session	1.5543
mde_b_A	0.003602
mde_b_B	0.001099
mde_b_C	0.003115
mde_b_sens_A	0.003121
mde_b_sens_B	0.000952
mde_b_sens_C	0.002699
mde_c_A	0.035184
mde_c_B	0.004447
mde_c_C	0.048986
r2_bar	0.0261
r2_bar_moved	0.0098
ratio_A	0.0065
ratio_B	0.0421
ratio_C	0.0056
ratio_units_A	0.0698
ratio_units_B	0.0421
ratio_units_C	0.0603
se_dev_b_A	0.000595
se_dev_b_B	0.000182
se_dev_b_C	0.000515
selected	C - queue imbalance, directional
selected_block_length	177.58
sessions	7
symbols	96
threshold_A	0.5516
threshold_B	0.0261
threshold_C	0.5516
tie_break_needed	no
windows	3,603,271
windows_moved	2,203,916
